iter	Logloss
0	0.6843254843
1	0.6769486076
2	0.6718664637
3	0.6674303618
4	0.6643165012
5	0.6607872134
6	0.6582211183
7	0.6562473435
8	0.6544772209
9	0.6528168387
10	0.6508739159
11	0.649746018
12	0.6485623665
13	0.6471643588
14	0.6463523801
15	0.645532104
16	0.6449590338
17	0.6436931676
18	0.6431341286
19	0.6422980109
20	0.6417044274
21	0.6409474271
22	0.6404061132
23	0.6398653509
24	0.6394567745
25	0.6390318597
26	0.6383347643
27	0.6379659454
28	0.637562356
29	0.6372379581
30	0.6368834778
31	0.6364628205
32	0.6361971394
33	0.6357828552
34	0.6353205045
35	0.6349097191
36	0.6346290369
37	0.6343968301
38	0.6338740999
39	0.6337318426
40	0.6335015881
41	0.6332453553
42	0.6329651321
43	0.6326060398
44	0.6324386293
45	0.632118711
46	0.6317918041
47	0.6316294905
48	0.6314547477
49	0.6310510966
50	0.6308538184
51	0.6305708845
52	0.630285856
53	0.6301263392
54	0.6298434164
55	0.6296133423
56	0.6294567661
57	0.6292669179
58	0.6290003608
59	0.6286765777
60	0.6285129066
61	0.6283950689
62	0.6281397545
63	0.627907315
64	0.6276467913
65	0.6274583774
66	0.6271965325
67	0.6269506814
68	0.6268586175
69	0.6267113209
70	0.6263765156
71	0.6262032591
72	0.6260879139
73	0.6259406038
74	0.6255885451
75	0.6254162335
76	0.6252216248
77	0.6250495402
78	0.6249408267
79	0.6246519385
80	0.6245269192
81	0.6243443022
82	0.6241186879
83	0.6237984388
84	0.6237013532
85	0.6235395447
86	0.623423029
87	0.6231588668
88	0.6230390772
89	0.6228804047
90	0.6226023122
91	0.6224480986
92	0.6222790783
93	0.6221086481
94	0.6219349118
95	0.6217047989
96	0.6214501983
97	0.6212882094
98	0.6211895896
99	0.6209877334
100	0.6208121386
101	0.6205153965
102	0.6203353824
103	0.6202288886
104	0.619934561
105	0.619739607
106	0.6195177562
107	0.6192469874
108	0.6191192142
109	0.6189190726
110	0.6187337008
111	0.618619497
112	0.6184356722
113	0.618252802
114	0.6180254556
115	0.6177686716
116	0.6176610926
117	0.6174807815
118	0.6173333451
119	0.6171737327
120	0.6170827638
121	0.6168546043
122	0.6166519681
123	0.616551177
124	0.6163475265
125	0.6162004955
126	0.6160208896
127	0.6158800333
128	0.6157395047
129	0.6156144044
130	0.6154839094
131	0.6153298767
132	0.6151743613
133	0.6150417354
134	0.6149211179
135	0.6147561381
136	0.6145609199
137	0.6144038299
138	0.6141456691
139	0.6139268785
140	0.6137244069
141	0.613574016
142	0.6134372549
143	0.6133526782
144	0.6132484694
145	0.6131671439
146	0.6130493008
147	0.6128909394
148	0.6128106373
149	0.6127155472
150	0.6124247628
151	0.6122598409
152	0.6121058621
153	0.6119384182
154	0.6117781338
155	0.6116027082
156	0.6114995285
157	0.6113739637
158	0.6109154004
159	0.6107986755
160	0.6106771454
161	0.6105335989
162	0.6102879394
163	0.6102262184
164	0.6101616133
165	0.6100400829
166	0.6098367502
167	0.6096544536
168	0.6095259494
169	0.6094397216
170	0.6092350676
171	0.6091220039
172	0.6090025129
173	0.6088807408
174	0.6086376766
175	0.6084593784
176	0.6083365575
177	0.6081446205
178	0.6080475316
179	0.6079465307
180	0.6078558339
181	0.6077450579
182	0.6075879065
183	0.6075261244
184	0.6073888076
185	0.607233109
186	0.6069964604
187	0.6068961999
188	0.6068051996
189	0.6067382362
190	0.6066670267
191	0.6065316536
192	0.6064766367
193	0.6063920745
194	0.6063132664
195	0.6062172369
196	0.6060779589
197	0.6059569591
198	0.6057193005
199	0.6056098849
200	0.6053652665
201	0.6052724196
202	0.6051881271
203	0.6050380266
204	0.6048813467
205	0.6048172501
206	0.604722308
207	0.6046245099
208	0.6045553247
209	0.6044007155
210	0.6043434832
211	0.6042614411
212	0.6040757109
213	0.6039817966
214	0.6039145519
215	0.6037874022
216	0.6037302929
217	0.6036155025
218	0.6035017747
219	0.6034191722
220	0.6032136872
221	0.6031288117
222	0.603071541
223	0.6028476194
224	0.6027751897
225	0.6025510213
226	0.6024944568
227	0.6023902772
228	0.6023112089
229	0.6022438244
230	0.6021626248
231	0.6020609834
232	0.601958676
233	0.6018679425
234	0.601826584
235	0.6017293248
236	0.6016331537
237	0.6015856035
238	0.6013687771
239	0.6012430402
240	0.6012005834
241	0.6010690525
242	0.6009609742
243	0.6008421507
244	0.600697378
245	0.6005803764
246	0.600520391
247	0.6003971731
248	0.6002367525
249	0.6001237094
250	0.6000338864
251	0.5998975357
252	0.5997997288
253	0.5997402397
254	0.5996237129
255	0.5995030053
256	0.5993804316
257	0.5992727254
258	0.5991434961
259	0.5990455743
260	0.5989276262
261	0.5988552712
262	0.5988072751
263	0.5986423285
264	0.5985775365
265	0.5984554211
266	0.5982672701
267	0.5982047708
268	0.5981208414
269	0.5979918535
270	0.5979111158
271	0.5978553031
272	0.5977115355
273	0.5976292326
274	0.5973961901
275	0.5973364327
276	0.5972230469
277	0.5971677126
278	0.5970353714
279	0.5967584686
280	0.5965868663
281	0.5965143356
282	0.5964506161
283	0.5962334321
284	0.5961542463
285	0.596059633
286	0.5959570801
287	0.5958569397
288	0.5957520433
289	0.5956880057
290	0.5955969201
291	0.5954929774
292	0.5954324872
293	0.5953660112
294	0.5953182686
295	0.5951611442
296	0.5950990951
297	0.5949968855
298	0.5948861699
299	0.5947069757
300	0.5946690769
301	0.5945356884
302	0.594352351
303	0.5943120725
304	0.594257211
305	0.5942083018
306	0.5941562355
307	0.5939968896
308	0.5938485671
309	0.5937833848
310	0.5937012645
311	0.5936520403
312	0.5935778435
313	0.5935315954
314	0.5934284696
315	0.5933488154
316	0.5931780396
317	0.5930007339
318	0.5929038301
319	0.5928445553
320	0.5927541363
321	0.5926381583
322	0.5925511432
323	0.5924702406
324	0.5923868899
325	0.5922895599
326	0.5921823728
327	0.5920985662
328	0.5920349553
329	0.5918983242
330	0.5917916718
331	0.5916702103
332	0.591603423
333	0.5914911869
334	0.5914582213
335	0.5913862687
336	0.5912885999
337	0.5912335826
338	0.5911062837
339	0.590987191
340	0.5909352102
341	0.5908880225
342	0.5908249812
343	0.5907297716
344	0.5906164448
345	0.5905098234
346	0.5904140958
347	0.5902938617
348	0.5902369626
349	0.5901157109
350	0.5900189717
351	0.5899325456
352	0.5898484372
353	0.5897613652
354	0.5896243273
355	0.5895613389
356	0.5895318594
357	0.5894848417
358	0.5894338559
359	0.5893593642
360	0.5892451899
361	0.589127491
362	0.5890759328
363	0.5889671143
364	0.5889189366
365	0.5888133115
366	0.5887502221
367	0.588559011
368	0.5884158898
369	0.5883241237
370	0.5882797666
371	0.5881750336
372	0.5880210475
373	0.5879081149
374	0.587826767
375	0.5877031016
376	0.5876445937
377	0.5875201568
378	0.5874624212
379	0.5874366233
380	0.5872957617
381	0.5872060887
382	0.5871487444
383	0.5870918966
384	0.5870391762
385	0.5869763885
386	0.5868827792
387	0.5868001284
388	0.5866041296
389	0.5864732145
390	0.5863176583
391	0.5862417242
392	0.5861641623
393	0.5860941699
394	0.585996855
395	0.585857974
396	0.5857692558
397	0.5856302662
398	0.5855295314
399	0.5854515408
400	0.5854280947
401	0.5853139533
402	0.5852541638
403	0.5851381696
404	0.5850715791
405	0.5850237731
406	0.5849552072
407	0.5848608289
408	0.584812891
409	0.5847419088
410	0.5846988265
411	0.584534108
412	0.5844548849
413	0.5843364176
414	0.584251435
415	0.5842292218
416	0.5841965413
417	0.5841262638
418	0.5840490195
419	0.5839263882
420	0.5838482224
421	0.5837781728
422	0.5837328657
423	0.5836975018
424	0.5836020535
425	0.5835438477
426	0.5834887033
427	0.5833839375
428	0.5833502036
429	0.5831719851
430	0.5831281046
431	0.5830458395
432	0.5829586385
433	0.5829048516
434	0.5828623036
435	0.5827718306
436	0.5827020009
437	0.5826661714
438	0.5826179749
439	0.582558232
440	0.5825053908
441	0.5823489903
442	0.5822884768
443	0.582197559
444	0.5819309548
445	0.5818096006
446	0.5817610607
447	0.5817276393
448	0.5816033642
449	0.5814998347
450	0.5813940295
451	0.5813132296
452	0.5811328426
453	0.5810755234
454	0.5810198976
455	0.5809588056
456	0.5808623078
457	0.5808391388
458	0.5808007021
459	0.5807298516
460	0.5806960866
461	0.5805358017
462	0.5804595485
463	0.5804257291
464	0.5803595374
465	0.5803157664
466	0.5802567647
467	0.5801789736
468	0.5801216994
469	0.580088523
470	0.5800103604
471	0.5799792663
472	0.579916614
473	0.5798589126
474	0.5797102202
475	0.5796701252
476	0.5795858976
477	0.579568857
478	0.5794302217
479	0.5793204417
480	0.5791684745
481	0.5790965251
