iter	Passed	Remaining
0	106	106406
1	161	80726
2	195	65043
3	225	56174
4	253	50474
5	284	47157
6	318	45153
7	350	43435
8	380	41933
9	415	41112
10	444	39947
11	469	38626
12	499	37890
13	530	37355
14	558	36656
15	585	35995
16	617	35719
17	649	35429
18	678	35052
19	710	34813
20	743	34640
21	775	34461
22	805	34210
23	832	33870
24	860	33571
25	886	33221
26	915	33009
27	944	32787
28	972	32577
29	1002	32410
30	1033	32291
31	1063	32172
32	1092	32011
33	1125	31976
34	1154	31835
35	1183	31698
36	1214	31603
37	1241	31425
38	1272	31344
39	1301	31225
40	1329	31103
41	1359	31012
42	1389	30923
43	1416	30784
44	1443	30638
45	1476	30618
46	1511	30641
47	1542	30584
48	1568	30434
49	1598	30376
50	1629	30321
51	1660	30272
52	1691	30215
53	1717	30094
54	1746	30015
55	1779	29996
56	1808	29917
57	1837	29836
58	1864	29737
59	1894	29677
60	1925	29645
61	1954	29572
62	1981	29474
63	2012	29429
64	2044	29408
65	2074	29364
66	2107	29350
67	2135	29270
68	2162	29174
69	2192	29128
70	2220	29060
71	2249	28989
72	2276	28909
73	2306	28864
74	2339	28854
75	2368	28792
76	2395	28720
77	2425	28672
78	2458	28657
79	2489	28633
80	2520	28596
81	2549	28543
82	2581	28519
83	2611	28475
84	2642	28445
85	2672	28403
86	2700	28339
87	2730	28301
88	2757	28227
89	2788	28192
90	2820	28178
91	2849	28120
92	2877	28060
93	2905	28000
94	2936	27972
95	2967	27943
96	2995	27882
97	3026	27860
98	3057	27823
99	3087	27787
100	3114	27721
101	3143	27670
102	3175	27651
103	3203	27600
104	3235	27574
105	3268	27564
106	3298	27529
107	3329	27501
108	3358	27449
109	3390	27430
110	3420	27398
111	3449	27347
112	3478	27302
113	3507	27260
114	3541	27253
115	3571	27220
116	3601	27179
117	3631	27143
118	3658	27085
119	3687	27041
120	3716	27001
121	3751	26995
122	3782	26970
123	3813	26943
124	3847	26933
125	3876	26886
126	3903	26832
127	3935	26810
128	3969	26801
129	3999	26768
130	4032	26747
131	4061	26710
132	4091	26673
133	4119	26622
134	4149	26588
135	4181	26567
136	4214	26548
137	4244	26514
138	4275	26485
139	4306	26454
140	4339	26436
141	4369	26401
142	4401	26375
143	4432	26351
144	4464	26323
145	4492	26279
146	4522	26242
147	4550	26197
148	4578	26147
149	4604	26090
150	4638	26077
